time_step,value,trend,seasonality
0,21178210.61397074,21178210.61397074,0.0
1,25000000.0,22324747.42977952,2675252.5702204816
2,18592522.228238415,21205079.86931719,-2612557.641078774
3,13093032.87760961,18771465.771804914,-5678432.894195303
4,20764436.812319152,19369357.083959185,1395079.7283599675
5,19288408.554368205,19345072.525081888,-56663.97071368247
6,15874511.291472131,18303904.154998958,-2429392.8635268267
7,17465538.20698429,18052394.370594557,-586856.1636102684
8,23197573.638015807,19595948.150820933,3601625.4871948734
9,21655099.531439293,20213693.56500644,1441405.9664328545
10,13532948.274863241,18209469.977963477,-4676521.703100236
11,20357582.280142453,18853903.66861717,1503678.6115252823
12,25000000.0,20697732.56803202,4302267.431967981
13,9000000.0,17188412.797622412,-8188412.797622412
14,17236952.37007917,17202974.669359438,33977.70071973279
15,22649476.377269864,18836925.181732565,3812551.195537299
16,24427309.921154577,20514040.603559166,3913269.317595411
17,23223869.109679803,21326989.15539536,1896879.9542844445
18,23597562.83059379,22008161.257954888,1589401.5726389028
19,9584970.65650154,18281204.077518884,-8696233.421017343
20,19471633.59032221,18638332.93135988,833300.6589623317
21,18440357.751613278,18578940.3774359,-138582.62582262233
22,25000000.0,20505258.264205128,4494741.735794872
23,23031726.54798404,21263198.7493388,1768527.798645243
24,9000000.0,17584239.124537155,-8584239.124537155
25,14959848.519003721,16796921.94287712,-1837073.4238734003
26,23901892.90205956,18928413.23063185,4973479.671427708
27,13640039.155405987,17341901.00806409,-3701861.852658104
28,14444375.08430035,16472643.230934966,-2028268.146634616
29,18067661.22582488,16951148.62940194,1116512.5964229405
30,12660300.118744846,15663894.076204812,-3003593.9574599657
31,21017184.69816702,17269881.262793474,3747303.4353735447
32,15448294.469081687,16723405.224679936,-1275110.755598249
33,10218561.192009458,14771952.01487879,-4553390.8228693325
34,11917015.634276833,13915471.100698203,-1998455.4664213695
35,15412149.550249051,14364474.635563456,1047674.9146855958
36,25000000.0,17555132.24489442,7444867.755105581
37,20831849.734971203,18538147.491917454,2293702.243053749
38,11468020.60009798,16417109.424371611,-4949088.824273631
39,10771407.569305155,14723398.867851675,-3951991.298546519
40,19011820.898507003,16009925.477048272,3001895.4214587305
41,9000000.0,13906947.83393379,-4906947.833933789
42,20341822.953900628,15837410.36992384,4504412.583976788
43,16490030.960432464,16033196.547076426,456834.4133560378
44,12744340.883709533,15046539.848066358,-2302198.9643568248
45,19002837.581720866,16233429.168162711,2769408.4135581553
46,22024648.21298168,17970794.8816084,4053853.331373278
47,15624543.076543298,17266919.340088867,-1642376.263545569
48,9000000.0,14786843.538062206,-5786843.538062206
49,20573858.62984913,16522948.065598283,4050910.5642508455
50,13677733.920876836,15669383.822181849,-1991649.9013050124
51,18520967.356261693,16524858.8824058,1996108.4738558922
52,12686765.927765293,15373430.996013649,-2686665.0682483558
53,14825253.126326274,15208977.635107435,-383724.50878116116
54,10692165.155582432,13853933.891249932,-3161768.7356675006
55,10078733.053940665,12721373.640057152,-2642640.586116487
56,18120851.062272303,14341216.866721697,3779634.1955506057
57,22578072.666349556,16812273.606610056,5765799.0597395
58,16580011.564180298,16742594.993881129,-162583.42970083095
59,9000000.0,14419816.49571679,-5419816.49571679
60,15048909.175216869,14608544.299566813,440364.8756500557
61,10854768.565508794,13482411.579349406,-2627643.013840612
62,11633126.26474112,12927625.98496692,-1294499.7202257998
63,9804539.377269799,11990700.002657784,-2186160.6253879853
64,15384023.696221393,13008697.110726867,2375326.5854945257
65,14173818.853581395,13358233.633583225,815585.2199981697
66,9116223.919862615,12085630.719467042,-2969406.799604427
67,18856398.942882635,14116861.18649172,4739537.756390914
68,9000000.0,12581802.830544204,-3581802.8305442035
69,9000000.0,11507261.981380941,-2507261.9813809413
70,9000000.0,10755083.386966659,-1755083.3869666588
71,23364296.97640447,14537847.463798001,8826449.512606468
72,11733287.972158734,13696479.616306221,-1963191.6441474874
73,9000000.0,12287535.731414353,-3287535.7314143535
74,9000000.0,11301275.011990046,-2301275.011990046
75,9000000.0,10610892.50839303,-1610892.5083930306
76,9000000.0,10127624.755875122,-1127624.7558751218
77,10823137.990010925,10336278.726115862,486859.26389506273
78,9000000.0,9935395.108281102,-935395.108281102
79,9000000.0,9654776.575796772,-654776.5757967718
80,9429775.648303147,9587276.297548685,-157500.64924553782
81,9060262.111510793,9429172.041737318,-368909.9302265253
82,15097342.162768885,11129623.078046788,3967719.084722098
83,9000000.0,10490736.15463275,-1490736.154632751
84,9000000.0,10043515.308242925,-1043515.3082429245
85,15685919.66238141,11736236.61448447,3949683.0478969403
86,9000000.0,10915365.630139127,-1915365.6301391274
87,9000000.0,10340755.94109739,-1340755.94109739
88,9566630.96966488,10108518.449667636,-541887.4800027572
89,9000000.0,9775962.914767345,-775962.9147673454
90,9892651.82127899,9810969.58672084,81682.23455815017
91,13120126.885231543,10803716.77627405,2316410.1089574937
92,9000000.0,10262601.743391834,-1262601.7433918342
93,12711550.885591125,10997286.48605162,1714264.3995395042
94,9000000.0,10398100.540236134,-1398100.540236134
95,9000000.0,9978670.378165293,-978670.3781652935
96,9000000.0,9685069.264715705,-685069.2647157051
97,9000000.0,9479548.485300994,-479548.48530099355
98,9000000.0,9335683.939710695,-335683.9397106953
99,9947614.634041868,9519263.148010047,428351.486031821
